,Name,Address,Rating,latitude,longitude,genera_type,place_id,icon,business_status,type
11,Schweitzer Engineering Laboratories Saudi Ltd. Co.,"2nd/F Rm. 207 Fall Bldg., Prince Sultan Road,, Jeddah",5,21.66239909999999,39.1226857,"['point_of_interest', 'establishment']",ChIJY5IY0aTZwxUR4juEUdKX4TE,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
12,iPhotographer,"District Office, No. 108, 7163 Prince Sultan Rd, Jeddah",4.8,21.6623513,39.12269010000001,"['point_of_interest', 'establishment']",ChIJqSc451_QwxURt388BJLTPSY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
13,Interplast Co. Ltd. Pipes And Fittings شركة انتربلاست المحدودة Cosmoplast Co. Ltd. ( كوزموبلاست ),"حي, 7211 Prince Sultan Road, Jeddah",4.5,21.670473,39.1214144,"['point_of_interest', 'establishment']",ChIJE3HGD7DawxURSLTSEyjZLLs,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
14,Gado Gado,"Prince Sultan Road, Jeddah",3.7,21.6704954,39.121457,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ8xsWd67ZwxURaqOg6lVxQ5w,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,restaurant
15,مكتب رامي الصالح للمحاماة والاستشارات القانونية Rami Al Saleh Lawyer,"7049 الامير سلطان فرعي, Al Muhammadiyah District, جدة",4.8,21.6613586,39.1228588,"['point_of_interest', 'establishment']",ChIJUdvUtaTZwxURx5tpgdQRIy4,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
16,أكاديمية أجنحة الصقر لعلوم الطيران,"شارع الأمير سلطان, آية مول, Jeddah",4.7,21.6612195,39.1201677,"['school', 'university', 'point_of_interest', 'establishment']",ChIJ_wSfe6TZwxURFYgJQchOCyk,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,OPERATIONAL,school
17,Carrom Media Agency,"7023 الامير سلطان فرعي, Jeddah",5,21.6611236,39.1229461,"['point_of_interest', 'establishment']",ChIJK723s6TZwxURiJHTzFl3DVU,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
18,Petromin Headoffice,"Saudi, Jeddah",4.2,21.6610711,39.1197901,"['point_of_interest', 'establishment']",ChIJA1zddKTZwxURumXEL64kZ-M,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
19,Al Mohammadiyyah,Al Mohammadiyyah,N/A,21.6486364,39.127207,"['sublocality_level_1', 'sublocality', 'political']",ChIJocTTuJbZwxUR5j2wFMkGbXE,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,N/A,sublocality_level_1
22,Peaks Construction & Maintenance Co Ltd.,"طريق الامير سلطان, Al Olaya Tower, جدة",3.4,21.65819579999999,39.1225173,"['general_contractor', 'point_of_interest', 'establishment']",ChIJcxnBUUrFwxURCeXyzMxzWfg,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,general_contractor
